Record,PanelId,PanelCode,PanelRuleCode,PanelRuleName,MinSeverity,MaxSeverity,RevisedSummary,SummaryVariantCode
1,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your blood sugar levels are within the normal limits, suggesting effective glucose regulation and stable metabolic balance. Continuing healthy habits such as a balanced diet, proper hydration, adequate sleep, and regular physical activity will help maintain this favorable state.",
2,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The current blood sugar results fall within the healthy range, indicating that your body is managing glucose efficiently. Maintaining consistent lifestyle practices like nutritious eating, good sleep patterns, hydration, and physical exercise will support ongoing metabolic stability.",
3,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glucose values are within the expected normal range, reflecting healthy metabolic function and proper glucose control. Sustaining a balanced lifestyle with good nutrition, sufficient rest, hydration, and physical activity can help preserve this optimal condition.",
4,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The findings show that your blood sugar levels are normal and your glucose metabolism appears well regulated. Adopting healthy daily habits including balanced meals, proper hydration, quality sleep, and regular exercise will help maintain these results.",
5,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your test results indicate that blood glucose levels are within a healthy range, suggesting stable metabolic control. Continuing with a balanced diet, good sleep, hydration, and regular physical activity can help keep your glucose levels well maintained.",
6,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The current glucose measurements fall within the normal reference range, indicating healthy sugar metabolism. Maintaining positive lifestyle habits such as balanced nutrition, proper rest, hydration, and consistent exercise can support continued metabolic balance.",
7,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Blood sugar levels appear well controlled and remain within the normal range. Following a healthy lifestyle that includes balanced nutrition, sufficient sleep, hydration, and regular physical activity will help maintain this stable metabolic state.",
8,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glycemic profile is within the expected healthy range, reflecting efficient glucose regulation. Continuing healthy routines such as balanced eating, adequate sleep, hydration, and regular physical activity will help sustain this optimal metabolic balance.",
9,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The results suggest that your blood sugar levels are stable and within the normal range. Maintaining a healthy routine including balanced nutrition, sufficient rest, hydration, and physical activity can help preserve this positive metabolic status.",
10,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glucose levels fall within the recommended range, indicating effective glucose management and metabolic stability. Continuing healthy lifestyle practices such as balanced diet, good sleep, proper hydration, and physical exercise will support long-term glucose control.",
11,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your blood sugar levels are mildly elevated compared to the normal range but do not currently meet the criteria for pre-diabetes. Such changes are often associated with lifestyle patterns such as limited physical activity or higher sugar consumption. Regular monitoring and healthy lifestyle modifications are advised to prevent further progression,
12,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"The glucose results are slightly higher than the ideal range, though they do not yet indicate a pre-diabetic condition. This pattern is commonly related to lifestyle factors including decreased physical activity or increased sugar intake. Maintaining healthy habits and monitoring glucose levels can help prevent worsening.",
13,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose levels show a mild elevation above the normal range but remain below the threshold for pre-diabetes. Lifestyle factors such as sedentary routines or excessive sugar intake may contribute to these changes. Preventive lifestyle improvements and regular monitoring are recommended.,
14,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"A slight increase in blood sugar levels is observed, though it does not currently suggest pre-diabetes. This stage may be influenced by lifestyle factors like reduced exercise or dietary habits high in sugar. Early lifestyle adjustments and periodic monitoring can help maintain healthy glucose levels.",
15,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,The current results indicate mildly elevated glucose levels that remain short of the pre-diabetes range. Such findings are often linked to lifestyle influences such as limited physical activity or high sugar consumption. Monitoring your glucose and adopting healthier habits may help prevent progression.,
16,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose readings are somewhat higher than the recommended range but do not yet indicate pre-diabetes. This early shift may be associated with lifestyle patterns including inactivity or higher sugar intake. Preventive measures and continued monitoring are advisable.,
17,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"The test results show a slight rise in glucose levels above the normal range, although they do not currently suggest pre-diabetes. Lifestyle factors such as decreased activity levels or dietary sugar intake may play a role. Monitoring and proactive lifestyle changes are recommended.",
18,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Blood sugar values are mildly elevated but remain below the diagnostic threshold for pre-diabetes. This stage may be influenced by lifestyle habits such as limited physical activity or increased sugar consumption. Early lifestyle improvements and regular monitoring can help prevent further increase.,
19,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"A minor elevation in glucose levels is present, though it has not yet reached the pre-diabetic range. This condition is often related to lifestyle factors such as reduced exercise or excessive sugar intake. Preventive lifestyle measures and monitoring are advised.",
20,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose values are slightly above the normal limits but still fall short of the pre-diabetes threshold. Such changes may reflect lifestyle influences including reduced activity or higher sugar consumption. Regular monitoring and healthy lifestyle adjustments are recommended to prevent progression.,
