BandId,TestId,TestCode,BandName,BandCode,RangeMin,RangeMax,CustomValue,Severity,StandardReport
1,1,,HbA1c – Optimal,HBA1C_OPTIMAL,0,5,,0,"""Your sugar over the past 2-3 months is in a very healthy range - keep your current diet and routine to maintain this"""
2,1,,HbA1c – Normal,HBA1C_NORMAL,5.1,5.6,,1,"""Your long-term blood sugar is normal - good control; continue healthy eating, activity, and regular checkups"""
3,1,,HbA1c – High Normal,HBA1C_HIGH_NORMAL,5.5,5.6,,2,"""Your HbA1c is at the upper end of normal - monitor regularly and maintain healthy habits to prevent progression"""
4,1,,HbA1c – Pre-Diabetes (Early),HBA1C_PREDIABETES_EARLY,5.7,5.9,,3,"""This range shows early signs of pre-diabetes - small lifestyle changes now can help reverse it"""
5,1,,HbA1c – Pre-Diabetes (Established),HBA1C_PREDIABETES,6,6.4,,4,"""Your HbA1c indicates established pre-diabetes - stronger lifestyle changes and regular monitoring are recommended"""
6,1,,HbA1c – Diabetes (Threshold),HBA1C_DIABETES_THRESHOLD,6.5,6.9,,5,"""This HbA1c meets the diagnostic cutoff for diabetes - please discuss confirmation and next steps with your doctor"""
7,1,,HbA1c – Diabetes (Moderate),HBA1C_DIABETES_MODERATE,7,7.9,,6,"""Your HbA1c suggests moderate diabetes - review medications and lifestyle to prevent complications"""
8,1,,HbA1c – Poor Control,HBA1C_POOR_CONTROL,8,8.9,,7,"""Your HbA1c indicates poor diabetic control - sugar levels need adjustment to avoid long-term risks"""
9,1,,HbA1c – Very Poor Control,HBA1C_VERY_POOR_CONTROL,9,11.9,,8,"""Your long-term sugar level is very high - this increases risk of nerve, kidney, eye and heart issues; medical review needed"""
10,1,,HbA1c – Extremely High Risk,HBA1C_EXTREME,12,100,,9,"""Extremely high HbA1c - your risk of severe complications is very high; urgent medical care is required"""
11,2,,FBS – Hypoglycemia (Severe),FBS_HYPOGLYCEMIA_SEVERE,0,54,,0,"""Your fasting sugar is dangerously low - this can cause fainting or confusion; take fast sugar and get urgent medical help"""
12,2,,FBS – Hypoglycemia (Mild),FBS_HYPOGLYCEMIA_MILD,55,69,,1,"""Your fasting sugar is low - monitor symptoms, adjust food/medication timing and review with your doctor if recurrent"""
13,2,,FBS – Optimal,FBS_OPTIMAL,70,85,,2,"""Your fasting sugar is excellent - shows healthy overnight glucose control; keep maintaining your habits"""
14,2,,FBS – Normal,FBS_NORMAL,86,99,,3,"""Your fasting sugar is normal - good glucose regulation; continue your routine and regular monitoring"""
15,2,,FBS – High Normal,FBS_HIGH_NORMAL,100,109,,4,"""Your fasting sugar is slightly high - monitor diet/activity and recheck to prevent further rise"""
16,2,,FBS – Pre-Diabetes (Early),FBS_PREDIABETES_EARLY,110,119,,5,"""Early fasting pre-diabetes - your body is beginning to struggle with sugar control; lifestyle action now helps"""
17,2,,FBS – Pre-Diabetes (Established),FBS_PREDIABETES,120,125,,6,"""Established fasting pre-diabetes - consistent elevation; diet, exercise and monitoring strongly recommended"""
18,2,,FBS – Diabetes (Threshold),FBS_DIABETES_THRESHOLD,126,139,,7,"""Fasting sugar meets diabetes criteria - follow up with your doctor for diagnosis and management"""
19,2,,FBS – Diabetes (Moderate Elevation),FBS_DIABETES_MODERATE,140,159,,8,"""Moderately elevated fasting sugar - poor control; medical and lifestyle adjustments are recommended"""
20,2,,FBS – Diabetes (Severe Elevation),FBS_DIABETES_SEVERE,160,500,,9,"""Severely elevated fasting sugar - high risk of long-term complications; seek medical care soon"""
21,3,,PPBS – Hypoglycemia (Severe),PPBS_HYPOGLYCEMIA_SEVERE,0,54,,0,"""Your post-meal sugar is dangerously low - take fast sugar and seek urgent medical evaluation"""
22,3,,PPBS – Hypoglycemia (Mild),PPBS_HYPOGLYCEMIA_MILD,55,69,,1,"""Your post-meal sugar is low - may be from delayed meals/medication imbalance; monitor closely"""
23,3,,PPBS – Optimal,PPBS_OPTIMAL,70,119,,2,"""Your post-meal sugar is optimal - strong metabolic control; maintain your habits"""
24,3,,PPBS – Normal,PPBS_NORMAL,120,139,,3,"""Your post-meal sugar is normal - good glucose handling after meals"""
25,3,,PPBS – High Normal,PPBS_HIGH_NORMAL,140,159,,4,"""Your post-meal sugar is slightly high - early warning sign; adjust food portions and meal habits"""
26,3,,PPBS – Pre-Diabetes (Early),PPBS_PREDIABETES_EARLY,160,169,,5,"""Early post-meal pre-diabetes - some difficulty controlling sugar after meals; improve diet/lifestyle"""
27,3,,PPBS – Pre-Diabetes (Established),PPBS_PREDIABETES,170,199,,6,"""Established post-meal pre-diabetes - sugar stays high after eating; lifestyle corrections needed"""
28,3,,PPBS – Diabetes (Threshold),PPBS_DIABETES_THRESHOLD,200,239,,7,"""Your post-meal sugar meets diabetes criteria - please consult your doctor"""
29,3,,PPBS – Diabetes (Moderate Elevation),PPBS_DIABETES_MODERATE,240,299,,8,"""Moderately elevated post-meal sugar - poor control; treatment and lifestyle changes advised"""
30,3,,PPBS – Diabetes (Severe Elevation),PPBS_DIABETES_SEVERE,300,600,,9,"""Severely elevated post-meal sugar - significantly increases complication risk; immediate care advised"""
